252	0.603174603	0.686507937	0.765873016	0.849206349	0.924603175	1.011904762	1.095238095	1.178571429	1.26984127	1.353174603
1725	0.148766936	0.148782901	0.148756315	0.148698301	0.148651849	0.14858039	0.148500245	0.148408691	0.148304416	0.148202728
1750	0.150456701	0.150353663	0.150216469	0.15004774	0.149916539	0.149751929	0.149588158	0.149416614	0.149230786	0.149065176
1775	0.152785947	0.152485353	0.152178242	0.151847802	0.151593221	0.151297322	0.15101858	0.150739463	0.150445389	0.150188815
1800	0.15564801	0.155099449	0.15458417	0.154058332	0.15365265	0.153197447	0.152780019	0.152371945	0.151948193	0.151582602
1825	0.158799734	0.158005856	0.157285983	0.156565599	0.156004084	0.155382735	0.154818932	0.154273563	0.153710079	0.153225697
1850	0.162094266	0.161040373	0.160115373	0.159212513	0.158508859	0.15773835	0.157041739	0.156368677	0.155671541	0.155070724
1875	0.165553454	0.164206604	0.163052738	0.161948744	0.161092642	0.16016951	0.159346323	0.15856019	0.157748654	0.157047212
1900	0.169182258	0.167523949	0.166117756	0.164790186	0.163765666	0.162674993	0.161713814	0.160806452	0.159878319	0.159082542
1925	0.172899627	0.170951454	0.169300288	0.167746765	0.16654114	0.16526684	0.164154578	0.163115056	0.162060463	0.161162958
1950	0.17661898	0.174416553	0.172547857	0.170781636	0.169403484	0.167948674	0.166677548	0.165494926	0.16430299	0.163295342
1975	0.180271157	0.177853702	0.175794438	0.173843885	0.172311947	0.170688008	0.169267543	0.16794676	0.166612371	0.165486432
2000	0.18384182	0.181213477	0.178998193	0.176887218	0.175219164	0.173447203	0.171893702	0.170443821	0.168976204	0.167734215
2025	0.187417581	0.184515546	0.182120681	0.179875017	0.17809443	0.176192156	0.174520396	0.172957343	0.171371001	0.170024918
2050	0.191081467	0.187840886	0.185210334	0.182796096	0.180904359	0.178894944	0.177124114	0.175460934	0.173768813	0.172328933
2075	0.194844493	0.191231588	0.188332139	0.185696544	0.183664398	0.181538498	0.179678815	0.177932688	0.176150413	0.174627342
2100	0.19869307	0.19471039	0.191511633	0.188632485	0.186418069	0.184142597	0.182179535	0.180356807	0.17849594	0.176905118
2125	0.202613024	0.198256928	0.19476666	0.191617591	0.189213758	0.186745386	0.184652592	0.182732461	0.180795057	0.179141581
2150	0.206515936	0.201869452	0.19807507	0.194667383	0.192052486	0.189390615	0.187138773	0.185089026	0.183052689	0.181334073
2175	0.210374069	0.205476788	0.201442937	0.197759466	0.194948359	0.192071045	0.189648159	0.187463081	0.185295424	0.183493009
2200	0.21409884	0.209056848	0.204810306	0.200906239	0.197875794	0.194800923	0.192196489	0.189857344	0.18755694	0.185641485
2225	0.217685337	0.21252958	0.208161187	0.204057934	0.200852557	0.197554913	0.194788292	0.192286456	0.189834668	0.187811772
2250	0.221126219	0.215890221	0.211421591	0.207202466	0.203832599	0.200354952	0.19739743	0.194753997	0.192142857	0.189995165
