252	0.011904762	0.095238095	0.182539683	0.26984127	0.353174603	0.432539683	0.511904762	0.603174603	0.686507937	0.765873016	0.849206349	0.924603175	1.011904762	1.095238095	1.178571429	1.26984127	1.353174603	1.432539683	1.511904762	1.599206349	2.595238095	3.345238095	3.599206349	3.841269841	4.603174603
1400	0.16444	0.15736	0.144000043	0.146401529	0.145606854	0.146016815	0.145229271	0.145483123	0.145502402	0.145521986	0.145543458	0.145563138	0.145585304	0.145605466	0.145624202	0.145643164	0.145659006	0.145674922	0.145689673	0.145704577	0.145815701	0.145850964	0.145865692	0.145865406	0.145834916
1425	0.16444	0.157360001	0.144000173	0.146403966	0.145614757	0.146032025	0.145251584	0.145510565	0.145537253	0.145563858	0.145590726	0.145615064	0.145641689	0.14566526	0.145686624	0.14570776	0.145725045	0.145742396	0.145758221	0.145773954	0.145884124	0.145914463	0.145928205	0.145925803	0.145887271
1450	0.16444	0.157360007	0.144000623	0.146409627	0.145630153	0.14605838	0.145287454	0.145552115	0.145587773	0.145620845	0.145653603	0.145682473	0.145713164	0.145739619	0.145763002	0.14578561	0.145803699	0.145821911	0.145838252	0.145854226	0.14595894	0.1459827	0.145995036	0.145990218	0.14594299
1475	0.16444	0.157360039	0.144002046	0.146421933	0.145658586	0.146102558	0.145343745	0.145611322	0.145656335	0.145696269	0.145734376	0.145767104	0.145800937	0.145829339	0.145853809	0.145876917	0.145894983	0.145913328	0.145929507	0.145945037	0.146039633	0.146055261	0.146065799	0.146058297	0.146001814
1500	0.16444	0.157360204	0.144006134	0.146447022	0.14570907	0.146172193	0.145426425	0.145692654	0.145746514	0.145792277	0.14583439	0.145869716	0.145905249	0.145934308	0.14595869	0.145981148	0.145998261	0.14601593	0.146031223	0.146045601	0.146125641	0.146131743	0.14614013	0.146129701	0.146063471
1525	0.16444	0.157360921	0.144016872	0.146495032	0.145792929	0.146277357	0.145543415	0.145799278	0.145860051	0.145909591	0.145953623	0.145989812	0.146025263	0.146053511	0.146076546	0.146097185	0.146112435	0.146128652	0.146142382	0.146154957	0.146216536	0.146211846	0.146217772	0.146204175	0.146127705
1550	0.16444	0.157363663	0.144042729	0.146582944	0.145925567	0.146428401	0.14570127	0.14593229	0.145996687	0.146047207	0.14609068	0.146125852	0.146159446	0.146185513	0.146206084	0.146223895	0.146236515	0.146250643	0.146262259	0.146272507	0.146312277	0.146295521	0.146298702	0.146281653	0.146194323
1575	0.16444	0.157372888	0.144099904	0.146730955	0.146123933	0.146634247	0.145904171	0.14609024	0.146154381	0.146203076	0.146243785	0.146276427	0.146306836	0.146329746	0.14634706	0.146361311	0.146370712	0.146382312	0.146391414	0.146398921	0.146413566	0.146383145	0.146383278	0.146362373	0.146263253
1600	0.16444	0.157400327	0.144218408	0.14696554	0.14640383	0.146900604	0.146153669	0.146270629	0.1463316	0.146376751	0.146413537	0.146443002	0.146469671	0.146488961	0.146502523	0.146512637	0.146518253	0.146526982	0.14653319	0.146537501	0.146522291	0.146475741	0.14647242	0.146447026	0.146334606
1625	0.16444	0.157473291	0.144439813	0.147312346	0.146777332	0.147231276	0.146452432	0.146475655	0.146533362	0.146575259	0.14660834	0.146634926	0.146657862	0.146673198	0.146682319	0.146687288	0.146688037	0.14669328	0.146695862	0.146696072	0.14664209	0.14657524	0.146567833	0.146536925	0.146408762
1650	0.16444	0.157644192	0.14482014	0.147792458	0.147256755	0.147638415	0.146816455	0.14672512	0.146783051	0.146823585	0.146853499	0.14687745	0.146895877	0.146905725	0.146908187	0.146905213	0.14689836	0.146898413	0.146895523	0.146889508	0.146779026	0.146684787	0.146672243	0.146634202	0.146486451
1675	0.164440016	0.157997162	0.145416751	0.148432388	0.14787822	0.148170628	0.14730158	0.147080158	0.147142497	0.147181622	0.147205332	0.147223786	0.147232802	0.147231506	0.147220902	0.147202834	0.147181952	0.147172561	0.147159917	0.147143036	0.146942393	0.146809093	0.146789693	0.146742028	0.14656886
1700	0.164440508	0.158633233	0.146290511	0.14932554	0.148771282	0.148970909	0.148052216	0.147683317	0.147744142	0.147770187	0.147772105	0.147772546	0.147756572	0.147729036	0.147690154	0.14764117	0.147592779	0.147564715	0.147533477	0.147496534	0.147145686	0.146954835	0.146925852	0.146864861	0.146657741
1725	0.164449656	0.159657461	0.147608285	0.150778028	0.150268671	0.150363371	0.149348183	0.148766936	0.148782901	0.148756315	0.148698301	0.148651849	0.14858039	0.148500245	0.148408691	0.148304416	0.148202728	0.14814113	0.148077321	0.148005865	0.147407743	0.147131124	0.147088389	0.14700873	0.146755533
1750	0.16455113	0.161406383	0.149972513	0.153407726	0.152782249	0.152592909	0.151359452	0.150456701	0.150353663	0.150216469	0.15004774	0.149916539	0.149751929	0.149588158	0.149416614	0.149230786	0.149065176	0.14895246	0.148840047	0.148717975	0.147753841	0.147350026	0.147287374	0.147181541	0.146865496
1775	0.165215893	0.165276985	0.154370405	0.15750451	0.156421943	0.155715513	0.154125761	0.152785947	0.152485353	0.152178242	0.151847802	0.151593221	0.151297322	0.15101858	0.150739463	0.150445389	0.150188815	0.150007577	0.149830782	0.149642336	0.148206015	0.147627167	0.147535753	0.147393435	0.146991858
1800	0.167716454	0.172435487	0.160980652	0.162758872	0.160917568	0.159528068	0.157496266	0.15564801	0.155099449	0.15458417	0.154058332	0.15365265	0.153197447	0.152780019	0.152371945	0.151948193	0.151582602	0.15131695	0.151061141	0.150791469	0.148782016	0.147978899	0.147848777	0.147657159	0.147139971
